IP地址	端口	回源端口	TLS	数据中心	地区	国家	城市	TCP延迟(ms)	速度(MB/s)
16.16.196.198	443	443	true	CPH	Europe	DK	Copenhagen	332	10.13
16.16.149.10	443	443	true	CPH	Europe	DK	Copenhagen	391	10.11
13.49.183.212	443	443	true	CPH	Europe	DK	Copenhagen	237	10.10
13.53.243.107	443	443	true	CPH	Europe	DK	Copenhagen	262	10.09
13.48.28.203	443	443	true	CPH	Europe	DK	Copenhagen	295	10.09
16.16.195.211	443	443	true	CPH	Europe	DK	Copenhagen	210	10.08
13.51.238.87	443	443	true	ARN	Europe	SE	Stockholm	323	10.07
16.16.203.150	443	443	true	CPH	Europe	DK	Copenhagen	355	10.05
13.53.76.175	443	443	true	CPH	Europe	DK	Copenhagen	257	10.03
13.50.240.87	443	443	true	CPH	Europe	DK	Copenhagen	301	10.03
13.51.195.36	443	443	true	AMS	Europe	NL	Amsterdam	202	9.98
16.16.127.130	443	443	true	CPH	Europe	DK	Copenhagen	276	9.97
16.16.100.193	443	443	true	AMS	Europe	NL	Amsterdam	283	9.97
13.53.206.75	443	443	true	CPH	Europe	DK	Copenhagen	257	9.96
13.48.175.183	2053	443	true	ARN	Europe	SE	Stockholm	372	9.96
13.50.110.48	443	443	true	CPH	Europe	DK	Copenhagen	302	9.93
13.49.231.150	443	443	true	CPH	Europe	DK	Copenhagen	242	9.91
13.49.222.28	443	443	true	ARN	Europe	SE	Stockholm	295	9.89
13.61.72.158	443	443	true	ARN	Europe	SE	Stockholm	304	9.88
13.50.109.241	443	443	true	CPH	Europe	DK	Copenhagen	301	9.85
13.50.13.111	443	443	true	CPH	Europe	DK	Copenhagen	247	9.84
16.16.210.121	443	443	true	CPH	Europe	DK	Copenhagen	265	9.81
13.50.110.244	443	443	true	CPH	Europe	DK	Copenhagen	225	9.80
13.53.85.205	443	443	true	ARN	Europe	SE	Stockholm	278	9.77
16.16.128.219	443	443	true	CPH	Europe	DK	Copenhagen	284	9.77
16.16.167.106	443	443	true	CPH	Europe	DK	Copenhagen	260	9.74
16.16.160.162	443	443	true	CPH	Europe	DK	Copenhagen	194	9.73
16.16.122.173	443	443	true	CPH	Europe	DK	Copenhagen	288	9.71
13.53.243.52	443	443	true	CPH	Europe	DK	Copenhagen	256	9.71
16.16.124.68	443	443	true	CPH	Europe	DK	Copenhagen	327	9.70
16.170.133.71	443	443	true	CPH	Europe	DK	Copenhagen	266	9.69
16.16.179.2	443	443	true	CPH	Europe	DK	Copenhagen	275	9.68
13.53.38.113	443	443	true	AMS	Europe	NL	Amsterdam	184	9.65
16.16.70.9	443	443	true	CPH	Europe	DK	Copenhagen	215	9.65
16.16.205.221	443	443	true	CPH	Europe	DK	Copenhagen	243	9.60
13.50.101.181	443	443	true	CPH	Europe	DK	Copenhagen	214	9.58
16.16.127.231	443	443	true	CPH	Europe	DK	Copenhagen	262	9.54
16.16.255.192	443	443	true	CPH	Europe	DK	Copenhagen	266	9.51
13.53.81.150	2083	443	true	ARN	Europe	SE	Stockholm	241	9.48
13.51.55.31	443	443	true	ARN	Europe	SE	Stockholm	243	9.37
16.16.128.254	443	443	true	CPH	Europe	DK	Copenhagen	332	9.33
13.50.173.22	8443	443	true	ARN	Europe	SE	Stockholm	335	9.29
16.16.210.149	443	443	true	CPH	Europe	DK	Copenhagen	246	9.25
16.16.179.250	443	443	true	CPH	Europe	DK	Copenhagen	393	9.23
16.16.220.254	443	443	true	CPH	Europe	DK	Copenhagen	245	9.17
13.49.80.142	443	443	true	ARN	Europe	SE	Stockholm	266	9.14
16.16.100.72	443	443	true	CPH	Europe	DK	Copenhagen	189	9.13
16.16.252.86	443	443	true	CPH	Europe	DK	Copenhagen	202	9.12
16.16.251.35	443	443	true	CPH	Europe	DK	Copenhagen	244	9.11
16.16.114.102	8443	443	true	ARN	Europe	SE	Stockholm	243	9.10
16.170.136.116	2083	443	true	CPH	Europe	DK	Copenhagen	223	9.06
16.16.192.131	443	443	true	CPH	Europe	DK	Copenhagen	389	8.97
13.212.88.110	443	443	true	SIN	Asia Pacific	SG	Singapore	328	8.79
16.16.214.18	443	443	true	CPH	Europe	DK	Copenhagen	240	8.74
13.56.14.114	80	443	true	SJC	North America	US	San Jose	314	8.55
13.56.139.126	80	443	true	SJC	North America	US	San Jose	279	8.55
13.56.81.55	80	443	true	SJC	North America	US	San Jose	318	8.55
13.57.6.142	80	443	true	SJC	North America	US	San Jose	232	8.54
16.16.203.216	443	443	true	CPH	Europe	DK	Copenhagen	269	8.51
13.56.250.182	80	443	true	SJC	North America	US	San Jose	295	8.49
13.56.210.252	80	443	true	SJC	North America	US	San Jose	211	8.42
16.16.114.102	2053	443	true	ARN	Europe	SE	Stockholm	281	8.35
16.16.203.139	443	443	true	CPH	Europe	DK	Copenhagen	275	8.24
13.57.241.143	80	443	true	SJC	North America	US	San Jose	222	7.99
13.48.245.19	443	443	true	ARN	Europe	SE	Stockholm	260	7.78
